ID,Address,Beds,Bath,Area,Date,Action,Amount,Rate_sqft,Source
42,1298-Karl-St_San-Jose_CA_95122_M17719-12249,6bed,3.5bath,"2,289sqft",09/22/2017,Listed,"$720,000",$314,MLSListings
43,1298-Karl-St_San-Jose_CA_95122_M17719-12249,6bed,3.5bath,"2,289sqft",03-07-2001,Sold,"$577,500",$252,Public Record
44,971-Minnesota-Ave_San-Jose_CA_95125_M20252-91616,2bed,2bath,"1,121sqft",10-08-2020,Listed,"$1,070,000",$954,MLSListings
45,971-Minnesota-Ave_San-Jose_CA_95125_M20252-91616,2bed,2bath,"1,121sqft",08/25/2016,Sold,"$875,000",$780,MLSListings
46,971-Minnesota-Ave_San-Jose_CA_95125_M20252-91616,2bed,2bath,"1,121sqft",08-03-2016,Listed,"$799,000",$712,MLSListings
47,971-Minnesota-Ave_San-Jose_CA_95125_M20252-91616,2bed,2bath,"1,121sqft",10-12-2012,Sold,"$570,000",$508,MLSListings
48,971-Minnesota-Ave_San-Jose_CA_95125_M20252-91616,2bed,2bath,"1,121sqft",09/14/2012,Price Changed,"$549,000",$489,MLSListings
49,971-Minnesota-Ave_San-Jose_CA_95125_M20252-91616,2bed,2bath,"1,121sqft",08-09-2012,Listed,"$599,000",$534,MLSListings
50,971-Minnesota-Ave_San-Jose_CA_95125_M20252-91616,2bed,2bath,"1,121sqft",04-04-2006,Sold,"$649,000",$578,Public Record
51,971-Minnesota-Ave_San-Jose_CA_95125_M20252-91616,2bed,2bath,"1,121sqft",10-08-2020,Listed,"$1,070,000",$954,MLSListings
52,971-Minnesota-Ave_San-Jose_CA_95125_M20252-91616,2bed,2bath,"1,121sqft",08/25/2016,Sold,"$875,000",$780,MLSListings
53,971-Minnesota-Ave_San-Jose_CA_95125_M20252-91616,2bed,2bath,"1,121sqft",08-03-2016,Listed,"$799,000",$712,MLSListings
54,971-Minnesota-Ave_San-Jose_CA_95125_M20252-91616,2bed,2bath,"1,121sqft",10-12-2012,Sold,"$570,000",$508,MLSListings
55,971-Minnesota-Ave_San-Jose_CA_95125_M20252-91616,2bed,2bath,"1,121sqft",09/14/2012,Price Changed,"$549,000",$489,MLSListings
56,971-Minnesota-Ave_San-Jose_CA_95125_M20252-91616,2bed,2bath,"1,121sqft",08-09-2012,Listed,"$599,000",$534,MLSListings
57,971-Minnesota-Ave_San-Jose_CA_95125_M20252-91616,2bed,2bath,"1,121sqft",04-04-2006,Sold,"$649,000",$578,Public Record
58,96-Kenbrook-Cir_San-Jose_CA_95111_M23294-56238,1bed,1bath,950sqft,10-12-2020,Listed,"$479,000",$504,BayEast
59,96-Kenbrook-Cir_San-Jose_CA_95111_M23294-56238,1bed,1bath,950sqft,12/22/2016,Sold,"$370,000",$389,MLSListings
60,96-Kenbrook-Cir_San-Jose_CA_95111_M23294-56238,1bed,1bath,950sqft,12-03-2016,Listed,"$359,000",$377,ContraCosta
61,96-Kenbrook-Cir_San-Jose_CA_95111_M23294-56238,1bed,1bath,950sqft,10/28/2016,Listed,"$359,000",$377,MLSListings
62,96-Kenbrook-Cir_San-Jose_CA_95111_M23294-56238,1bed,1bath,950sqft,10-12-2020,Listed,"$479,000",$504,BayEast
