Zip_Code,Type,Common Cities,County,Lat,Long,City,Timezone,Daylight_savings_time_flag
92414,Unique,"San Bernardino, Sn Bernrdno",San Bernardino,34.839964,-115.967051,San Bernardino,-8,1
92415,Unique,"San Bernardino, Sn Bernrdno",San Bernardino,34.839964,-115.967051,San Bernardino,-8,1
92418,Unique,"San Bernardino, Sn Bernrdno",San Bernardino,34.839964,-115.967051,San Bernardino,-8,1
92423,PO Box,"San Bernardino, Sn Bernrdno",San Bernardino,34.839964,-115.967051,San Bernardino,-8,1
92424,Unique,"San Bernardino, Sn Bernrdno",San Bernardino,34.839964,-115.967051,San Bernardino,-8,1
92427,PO Box,"San Bernardino, Sn Bernrdno",San Bernardino,34.262243,-116.861506,San Bernardino,-8,1
92501,Standard,Riverside,Riverside,33.991181,-117.37074,Riverside,-8,1
92502,PO Box,Riverside,Riverside,33.752886,-116.055617,Riverside,-8,1
92503,Standard,Riverside,Riverside,33.91355,-117.46052,Riverside,-8,1
92504,Standard,Riverside,Riverside,33.926315,-117.40937,Riverside,-8,1
92505,Standard,Riverside,Riverside,33.921765,-117.48812,Riverside,-8,1
92506,Standard,Riverside,Riverside,33.943615,-117.37239,Riverside,-8,1
92507,Standard,Riverside,Riverside,33.978965,-117.33646,Riverside,-8,1
92508,Standard,Riverside,Riverside,33.890313,-117.32122,Riverside,-8,1
92509,Standard,"Riverside, Jurupa Valley",Riverside,33.998751,-117.44695,Riverside,-8,1
92513,PO Box,Riverside,Riverside,33.752886,-116.055617,Riverside,-8,1
92514,PO Box,Riverside,Riverside,33.752886,-116.055617,Riverside,-8,1
92515,PO Box,Riverside,Riverside,33.752886,-116.055617,Riverside,-8,1
92516,PO Box,Riverside,Riverside,33.752886,-116.055617,Riverside,-8,1
92517,PO Box,Riverside,Riverside,33.752886,-116.055617,Riverside,-8,1
92518,Standard,"March Air Reserve Base, March Arb, Riverside",Riverside,33.891084,-117.2726,March Air Force Base,-8,1
92519,PO Box,Riverside,Riverside,33.752886,-116.055617,Riverside,-8,1
92521,Unique,Riverside,Riverside,33.752886,-116.055617,Riverside,-8,1
92522,Unique,Riverside,Riverside,33.752886,-116.055617,Riverside,-8,1
92530,Standard,Lake Elsinore,Riverside,33.675893,-117.34946,Lake Elsinore,-8,1
92531,PO Box,Lake Elsinore,Riverside,33.752886,-116.055617,Lake Elsinore,-8,1
92532,Standard,Lake Elsinore,Riverside,33.696543,-117.3247,Lake Elsinore,-8,1
92536,Standard,Aguanga,Riverside,33.485978,-116.82004,Aguanga,-8,1
92539,Standard,Anza,Riverside,33.55055,-116.67362,Anza,-8,1
92543,Standard,Hemet,Riverside,33.73542,-116.97401,Hemet,-8,1
92544,Standard,Hemet,Riverside,33.708843,-116.90948,Hemet,-8,1
92545,Standard,Hemet,Riverside,33.736743,-117.0217,Hemet,-8,1
92546,PO Box,Hemet,Riverside,33.752886,-116.055617,Hemet,-8,1
92548,Standard,Homeland,Riverside,33.749656,-117.11706,Homeland,-8,1
92549,Standard,Idyllwild,Riverside,33.750795,-116.72562,Idyllwild,-8,1
92551,Standard,Moreno Valley,Riverside,33.889035,-117.22046,Moreno Valley,-8,1
92552,PO Box,Moreno Valley,Riverside,33.752886,-116.055617,Moreno Valley,-8,1
92553,Standard,Moreno Valley,Riverside,33.923243,-117.24211,Moreno Valley,-8,1
92554,PO Box,Moreno Valley,Riverside,33.521993,-115.915905,Moreno Valley,-8,1
92555,Standard,"Moreno Valley, Rancho Belago",Riverside,33.922823,-117.16837,Moreno Valley,-8,1
92556,PO Box,Moreno Valley,Riverside,33.752886,-116.055617,Moreno Valley,-8,1
92557,Standard,Moreno Valley,Riverside,33.957957,-117.24833,Moreno Valley,-8,1
92561,Standard,"Mountain Center, Mountain Ctr",Riverside,33.632049,-116.55878,Mountain Center,-8,1
92562,Standard,Murrieta,Riverside,33.568617,-117.25264,Murrieta,-8,1
92563,Standard,Murrieta,Riverside,33.571185,-117.15362,Murrieta,-8,1
92564,PO Box,Murrieta,Riverside,33.752886,-116.055617,Murrieta,-8,1
92567,Standard,"Nuevo, Lakeview",Riverside,33.819818,-117.11778,Nuevo,-8,1
92570,Standard,Perris,Riverside,33.784051,-117.29812,Perris,-8,1
92571,Standard,Perris,Riverside,33.822068,-117.21514,Perris,-8,1
92572,PO Box,Perris,Riverside,33.752886,-116.055617,Perris,-8,1
92581,PO Box,San Jacinto,Riverside,33.752886,-116.055617,San Jacinto,-8,1
92582,Standard,San Jacinto,Riverside,33.796153,-117.00046,San Jacinto,-8,1
92583,Standard,"San Jacinto, Gilman Hot Springs, Glmn Hot Spgs",Riverside,33.788491,-116.95125,San Jacinto,-8,1
92584,Standard,"Menifee, Sun City",Riverside,33.66035,-117.18987,Menifee,-8,1
92585,Standard,"Sun City, Menifee, Romoland",Riverside,33.742936,-117.17432,Sun City,-8,1
92586,Standard,"Sun City, Menifee",Riverside,33.70602,-117.1974,Sun City,-8,1
92587,Standard,"Sun City, Canyon Lake, Menifee, Quail Valley",Riverside,33.692876,-117.25038,Sun City,-8,1
92589,PO Box,Temecula,Riverside,33.752886,-116.055617,Temecula,-8,1
92590,Standard,Temecula,Riverside,33.479467,-117.20933,Temecula,-8,1
92591,Standard,Temecula,Riverside,33.52775,-117.12056,Temecula,-8,1
92592,Standard,Temecula,Riverside,33.495343,-117.07657,Temecula,-8,1
92593,PO Box,Temecula,Riverside,33.752886,-116.055617,Temecula,-8,1
92595,Standard,Wildomar,Riverside,33.614385,-117.2608,Wildomar,-8,1
92596,Standard,"Winchester, Menifee",Riverside,33.653216,-117.07986,Winchester,-8,1
92599,Unique,Perris,Riverside,33.752886,-116.055617,Perris,-8,1
92602,Standard,Irvine,Orange,33.73297,-117.76932,Irvine,-8,1
