ID,Address,Zip_Code,beds,baths,Area,Amount_dollar,Rate_dollar_sqft
1,10023-Long-Oak-Ln_Cupertino_CA_95014_M21807-44400,95014,3,2.5,1341,1498000,1117.1
2,1002-Chula-Vista-Ter_Sunnyvale_CA_94086_M14850-49264,94086,2,2.5,1293,1100000,850.7
3,1007-Rosa-Ave_Sunnyvale_CA_94086_M29191-91795,94086,5,2.5,2016,1748000,867.1
4,10090-Pasadena-Ave-Apt-A4_Cupertino_CA_95014_M18700-93119,95014,3,2,1491,1325000,888.7
5,10109-Judy-Ave_Cupertino_CA_95014_M27035-48307,95014,5,4.5,3727,4080000,1094.7
6,10140-N-Blaney-Ave_Cupertino_CA_95014_M15483-78622,95014,4,2.5,2240,2348000,1048.2
7,10146-Carmen-Rd_Cupertino_CA_95014_M22466-67853,95014,3,3,2053,2548000,1241.1
8,1015-E-Homestead-Rd_Sunnyvale_CA_94087_M14931-13229,94087,4,2,1421,1688000,1187.9
9,1015-Lupine-Dr_Sunnyvale_CA_94086_M29210-55092,94086,5,2.5,2149,2148000,999.5
10,1015-Lynn-Way_Sunnyvale_CA_94087_M23329-23988,94087,3,2,1240,1799500,1451.2
11,10160-Calvert-Dr_Cupertino_CA_95014_M26647-91727,95014,3,2,1562,1690000,1081.9
12,10171-Carmen-Rd_Cupertino_CA_95014_M22860-20688,95014,5,4,3855,3790000,983.1
13,10190-Calvert-Dr_Cupertino_CA_95014_M26617-73185,95014,6,6.5,3278,2749000,838.6
14,10190-Vista-Dr_Cupertino_CA_95014_M15679-80507,95014,3,2.5,1962,1698000,865.4
15,10232-Danube-Dr_Cupertino_CA_95014_M25942-84563,95014,2,2,1154,1099000,952.3
16,10234-Scenic-Blvd_Cupertino_CA_95014_M22456-98938,95014,2,1,846,6399888,7564.9
17,1025-N-12th-St_San-Jose_CA_95112_M20479-17117,95112,3,2,1040,748888,720.1
18,10312-N-Blaney-Ave_Cupertino_CA_95014_M15996-93825,95014,3,1,1212,2650000,2186.5
19,1033-Reed-Ave_Sunnyvale_CA_94086_M28746-58994,94086,3,2,1400,1449000,1035.0
20,1033-Scotia-Ter-Unit-201_Sunnyvale_CA_94089_M15727-73292,94089,2,2,1030,879000,853.4
21,1035-W-MC-Kinley-Ave_Sunnyvale_CA_94086_M10470-19169,94086,3,2,1118,1580000,1413.2
22,10361-Menhart-Ln_Cupertino_CA_95014_M18872-35453,95014,4,3,1818,2288000,1258.5
23,1037-Scotia-Ter-Unit-301_Sunnyvale_CA_94089_M25404-17606,94089,2,2,1030,949000,921.4
24,10425-Calvert-Dr_Cupertino_CA_95014_M27177-46631,95014,4,2,1754,1495000,852.3
25,1044-Morse-Ave_Sunnyvale_CA_94089_M24492-33806,94089,3,2.5,1679,1398000,832.6
26,10450-Corte-de-Madrid_Cupertino_CA_95014_M26897-97174,95014,6,5.5,3278,3598000,1097.6
27,1050-Borregas-Ave-Spc-113_Sunnyvale_CA_94089_M29711-97807,94089,2,2,1580,189000,119.6
28,1050-Borregas-Ave-Spc-80_Sunnyvale_CA_94089_M16994-51665,94089,2,2,1440,169900,118.0
29,1056-E-Evelyn-Ave_Sunnyvale_CA_94086_M28540-13662,94086,2,2,1198,1289000,1076.0
30,1058-Grape-Ave_Sunnyvale_CA_94087_M23749-59971,94087,3,2,1348,1858000,1378.3
31,105-Berkeley-Ter_Sunnyvale_CA_94086_M26730-87511,94086,3,2.5,1912,1499000,784.0
32,105-Maidenhair-Ter_Sunnyvale_CA_94086_M26333-75526,94086,2,2.5,1368,1199800,877.0
33,10614-Sterling-Blvd_Cupertino_CA_95014_M26748-16265,95014,3,2,1127,1500000,1331.0
34,1061-Alta-Mira-Dr-Apt-A_Santa-Clara_CA_95051_M21535-21428,95051,2,2,1067,719800,674.6
35,1062-Grape-Ave_Sunnyvale_CA_94087_M23712-33377,94087,4,3,1966,2249888,1144.4
36,10641-Merriman-Rd_Cupertino_CA_95014_M20847-47332,95014,2,1,720,2248000,3122.2
37,10649-Farallone-Dr_Cupertino_CA_95014_M26183-95628,95014,5,4,2016,2699999,1339.3
38,1065-Hedgecroft-Pl_San-Jose_CA_95120_M10827-48099,95120,3,2.5,2052,1539999,750.5
39,10671-S-Blaney-Ave_Cupertino_CA_95014_M26158-24278,95014,4,2,1564,1998000,1277.5
40,1068-Bigleaf-Pl-Unit-302_San-Jose_CA_95131_M26356-86014,95131,3,2.5,1850,1098888,594.0
41,1068-Freestone-Ave_Sunnyvale_CA_94087_M23569-60521,94087,3,2,1647,1899950,1153.6
42,10704-Stevens-Canyon-Rd_Cupertino_CA_95014_M28868-77698,95014,3,2.5,2128,1849000,868.9
43,1070-Saddlewood-Dr_San-Jose_CA_95121_M27943-08456,95121,3,2.5,1178,799999,679.1
44,10745-N-de-Anza-Blvd-Unit-103_Cupertino_CA_95014_M20231-66324,95014,1,1.5,1209,999000,826.3
45,10745-N-de-Anza-Blvd-Unit-105_Cupertino_CA_95014_M14033-62317,95014,1,1.5,1194,2495,2.1
46,10745-N-de-Anza-Blvd-Unit-217_Cupertino_CA_95014_M12780-36953,95014,2,2,1272,1160000,911.9
47,1075-Cornflower-Ct_Sunnyvale_CA_94086_M28654-17040,94086,5,2.5,2510,2199888,876.4
48,1076-El-Capitan-Ter_Sunnyvale_CA_94085_M26754-63572,94085,3,2.5,1986,1469888,740.1
49,1078-Doheny-Ter_Sunnyvale_CA_94085_M26747-55519,94085,4,3.5,1947,1399000,718.5
50,10822-Northfield-Sq_Cupertino_CA_95014_M15823-27895,95014,2,2,1060,1168000,1101.9
51,1084-Interlaken-Trl_Sunnyvale_CA_94086_M22676-54079,94086,4,3.5,1908,1499800,786.1
52,1085-Tasman-Dr_Sunnyvale_CA_94089_M17346-08456,94089,2,2,1040,225000,216.3
53,1085-Tasman-Dr-Spc-128_Sunnyvale_CA_94089_M94376-20501,94089,3,2,1595,349000,218.8
54,1085-Tasman-Dr-Spc-260_Sunnyvale_CA_94089_M96809-56334,94089,3,2,2106,399900,189.9
55,1085-Tasman-Dr-Spc-38_Sunnyvale_CA_94089_M13914-22267,94089,4,2,1710,339000,198.2
56,1085-Tasman-Dr-Spc-564_Sunnyvale_CA_94089_M16707-94156,94089,4,2,1800,398000,221.1
57,1085-Tasman-Dr-Spc-654_Sunnyvale_CA_94089_M98153-20789,94089,3,2,1858,398000,214.2
58,1085-Tasman-Dr-Spc-849_Sunnyvale_CA_94089_M95891-71294,94089,3,2,1600,310000,193.8
59,1085-Tasman-Dr-Spc-875_Sunnyvale_CA_94089_M11789-10614,94089,5,2,1950,390000,200.0
60,10866-Northridge-Sq_Cupertino_CA_95014_M15615-33499,95014,2,2,1060,1166000,1100.0
61,10868-Sycamore-Ct_Cupertino_CA_95014_M22003-83552,95014,5,3.5,3786,3888000,1026.9
62,1088-ED-Roth-Ter_Sunnyvale_CA_94086_M19926-83852,94086,4,3,1826,1749000,957.8
63,1090-El-Capitan-Ter_Sunnyvale_CA_94085_M13298-63667,94085,4,3.5,1906,1399000,734.0
64,10952-Stevens-Canyon-Rd_Cupertino_CA_95014_M22362-49469,95014,4,3.5,3830,2995000,782.0
65,1095-Remsen-Ct_Sunnyvale_CA_94087_M25314-39663,94087,4,2.5,1957,2598000,1327.5
